iter	Passed	Remaining
399	42128	10532
400	42219	10423
401	42314	10315
402	42397	10204
403	42485	10095
404	42563	9984
405	42654	9875
406	42736	9765
407	42823	9656
408	42898	9544
409	42985	9435
410	43076	9328
411	43162	9219
412	43255	9111
413	43345	9004
414	43444	8898
415	43665	8817
416	43959	8749
417	44068	8644
418	44227	8550
419	44469	8470
420	44602	8369
421	44702	8262
422	44801	8155
423	44900	8048
424	44983	7938
425	45071	7829
426	45159	7720
427	45243	7611
428	45334	7502
429	45431	7395
430	45534	7289
431	45611	7179
432	45700	7071
433	45792	6963
434	45895	6857
435	46002	6752
436	46098	6645
437	46204	6540
438	46330	6437
439	46468	6336
440	46601	6234
441	46732	6132
442	46857	6029
443	46960	5923
444	47219	5836
445	47383	5737
446	47614	5645
447	47771	5544
448	48034	5456
449	48237	5359
450	48466	5265
451	48613	5162
452	48774	5060
453	48936	4958
454	49034	4849
455	49162	4743
456	49273	4636
457	49380	4528
458	49471	4419
459	49556	4309
460	49661	4201
461	49739	4091
462	49822	3981
463	49899	3871
464	50004	3763
465	50096	3655
466	50220	3548
467	50325	3441
468	50438	3333
469	50548	3226
470	50667	3119
471	50745	3010
472	50826	2901
473	50916	2792
474	51002	2684
475	51095	2576
476	51199	2468
477	51305	2361
478	51411	2253
479	51496	2145
480	51593	2037
481	51680	1929
482	51772	1822
483	51980	1718
484	52329	1618
485	52458	1511
486	52574	1403
487	52672	1295
488	52773	1187
489	52883	1079
490	52968	970
491	53068	862
492	53322	757
493	53427	648
494	53508	540
495	53598	432
496	53677	324
497	53776	215
498	53866	107
499	53949	0
